student_id,total_spending,rent,utilities,entertainment,groceries,transportation,savings,healthcare,other
53,1008.91,321.93,73.85,55.36,262.49,86.43,0.0,16.47,192.37
54,979.19,402.59,88.8,77.55,181.25,82.1,12.39,16.2,118.31
55,1387.38,615.48,69.05,165.31,388.39,36.82,0.0,9.95,102.38
56,1010.32,392.59,29.66,105.91,237.95,48.54,99.95,26.95,68.77
57,1486.22,418.44,63.16,125.24,249.56,45.85,496.35,14.35,73.26
58,903.87,415.97,65.03,49.43,234.63,17.21,0.0,5.67,115.93
59,1031.14,486.19,34.2,56.07,207.19,61.49,66.61,44.83,74.55
60,1093.75,548.65,73.78,124.18,247.24,71.9,0.0,13.0,15.0
61,903.25,286.39,45.73,56.24,131.25,68.14,249.03,17.4,49.06
62,1180.85,620.12,86.79,100.79,120.0,55.66,0.0,70.98,126.52
63,1259.94,472.62,66.25,183.44,221.74,73.84,176.59,50.45,15.0
64,1462.61,777.5,115.12,115.74,239.86,32.29,0.0,34.92,147.17
65,993.04,299.17,60.86,82.81,213.06,91.37,92.5,26.69,126.57
66,1313.57,680.78,84.67,103.01,240.26,39.56,0.0,83.18,82.11
67,1235.2,656.96,72.37,172.45,162.86,41.78,0.0,17.95,110.82
68,1174.32,500.6,42.3,141.36,288.45,43.5,0.0,10.25,147.86
69,1156.9,502.59,67.89,121.04,265.86,42.04,0.0,60.64,96.84
70,1061.68,379.44,81.44,11.63,231.09,51.15,124.77,34.99,147.18
71,1160.83,440.82,80.56,73.01,239.28,50.37,126.98,8.01,141.8
72,1068.19,489.93,65.92,114.16,153.35,57.59,47.56,35.05,104.63
73,959.92,442.48,43.55,24.45,155.81,38.63,217.34,3.75,33.91
74,1016.94,357.72,78.83,157.62,223.29,58.33,0.0,51.52,89.62
75,1508.83,825.22,88.81,192.94,293.26,53.19,0.0,27.69,27.73
76,1037.69,518.86,87.25,10.0,226.04,69.65,0.0,31.38,94.51
77,1188.54,557.87,68.3,76.0,210.04,69.4,101.92,33.09,71.92
78,1299.69,364.85,37.13,47.82,236.0,54.88,488.24,34.62,36.16
79,1142.43,457.96,79.85,102.21,308.14,42.01,0.0,21.21,131.05
80,1036.49,437.05,69.45,195.18,225.12,61.22,0.0,23.34,25.13
81,1071.13,439.65,94.74,99.71,212.03,37.25,97.42,14.17,76.17
82,1096.0,488.25,71.66,28.07,218.57,55.69,130.66,26.79,76.31
83,1080.49,576.58,72.98,20.63,223.05,51.96,28.91,21.29,85.08
84,1129.74,577.27,81.33,48.99,204.33,107.6,0.0,24.6,85.64
85,1561.36,634.51,64.79,207.57,358.68,50.46,0.0,5.05,240.29
86,1219.81,548.82,61.35,169.54,280.34,10.0,20.99,11.84,116.92
87,1326.95,467.75,68.77,268.79,290.39,42.25,0.0,19.3,169.7
88,1136.21,461.04,53.76,217.05,205.04,20.69,0.0,6.87,171.75
89,1377.16,670.37,72.49,173.46,215.6,60.47,0.0,2.44,182.33
90,1124.33,528.71,107.27,166.07,251.42,29.05,0.0,26.8,15.0
91,1227.3,531.03,91.2,135.54,298.41,36.91,44.74,7.66,81.82
92,1081.5,417.45,74.57,99.55,339.79,33.7,69.56,11.86,35.02
93,1063.11,476.89,98.74,10.0,120.0,74.26,0.0,30.72,252.5
94,1232.35,553.65,58.26,118.65,364.55,54.03,0.0,43.41,39.79
95,1227.89,543.24,117.63,110.29,287.93,96.51,0.0,14.65,57.65
96,1128.52,372.94,59.4,58.91,279.99,55.81,234.97,51.5,15.0
97,1132.61,641.79,111.82,68.91,134.3,73.57,2.21,61.99,38.01
98,1272.45,649.37,111.97,123.13,216.97,48.96,0.0,20.31,101.76
99,1605.98,764.06,47.86,241.84,290.26,86.89,0.0,20.27,154.8
100,1031.66,367.56,93.93,165.76,180.39,74.42,102.28,11.17,36.14
101,1018.58,519.97,66.99,77.67,120.0,49.4,0.0,25.12,159.43
102,838.31,210.9,52.6,10.0,248.45,67.38,113.88,43.59,91.5
103,1177.14,649.49,85.43,92.5,192.26,55.54,0.0,58.62,43.3
104,1087.76,265.21,46.31,111.71,309.27,60.95,181.73,8.06,104.51
105,1062.45,361.88,76.39,132.02,236.2,56.92,4.47,21.59,172.97
106,1211.26,479.87,53.96,179.97,225.23,70.02,66.87,37.53,97.81
107,761.98,415.42,72.15,10.0,233.37,12.65,0.76,2.63,15.0
108,1075.43,459.0,94.31,68.91,286.84,47.98,0.0,0.06,118.33
109,1063.23,491.82,78.21,95.3,191.02,68.65,0.0,20.78,117.45
110,1184.48,527.56,65.85,131.27,296.95,69.96,0.0,8.36,84.53
111,1389.02,378.05,77.59,98.05,166.3,32.47,503.35,7.02,126.18
112,1334.56,543.5,47.49,137.83,230.91,10.0,340.95,8.88,15.0
113,1283.7,504.56,56.54,228.06,281.89,89.02,0.0,9.0,114.64
114,1481.04,588.39,66.41,230.14,311.48,71.26,0.0,30.22,183.14
115,1113.74,651.75,90.22,58.08,212.51,85.28,0.0,0.91,15.0
116,908.29,219.77,70.4,144.61,185.57,70.9,173.68,28.37,15.0
117,1158.79,605.41,84.3,137.32,127.14,39.13,0.0,15.6,149.9
118,997.18,366.71,67.01,153.58,234.66,10.0,1.34,4.28,159.59
119,1382.45,518.36,57.86,67.83,248.42,45.76,264.44,34.99,144.79
120,956.63,327.33,93.11,140.58,254.73,54.26,0.0,29.74,56.89
121,1136.06,534.54,59.98,118.31,243.31,64.01,0.0,9.85,106.06
122,1370.02,746.16,86.43,128.52,229.61,32.78,0.0,33.19,113.33
123,1075.11,565.26,71.44,62.54,247.0,58.56,0.0,55.31,15.0
124,1044.18,434.82,79.68,190.98,175.32,58.55,0.0,1.17,103.65
125,1100.42,522.14,61.27,43.6,272.91,74.72,15.96,7.19,102.63
126,1145.64,313.72,84.86,91.35,241.55,48.86,214.1,40.2,110.99
127,1450.28,723.88,103.03,80.85,210.46,63.86,186.57,18.09,63.56
128,1242.17,587.55,91.97,129.94,219.04,60.77,0.0,14.14,138.77
129,1074.74,424.13,72.06,218.02,150.59,72.51,0.0,38.0,99.42
130,1326.82,368.04,59.71,199.88,274.9,58.6,119.68,11.98,234.03
131,1286.28,551.83,123.85,203.28,222.68,10.0,0.0,38.57,136.06
132,1076.19,551.84,55.21,53.76,264.26,60.26,0.0,5.59,85.27
133,1076.25,351.88,82.92,117.9,184.07,50.38,253.28,20.81,15.0
134,1267.46,683.61,83.0,66.43,277.78,31.85,58.05,44.34,22.4
135,1172.61,479.0,69.74,189.3,223.49,24.84,0.0,3.19,183.05
136,982.85,438.37,72.98,54.05,120.0,43.51,101.6,9.06,143.28
137,822.59,383.88,58.83,66.17,182.6,62.7,0.0,14.09,54.32
138,1234.21,699.83,85.18,61.92,205.82,56.91,0.0,77.49,47.08
139,1288.46,313.41,71.61,117.71,203.3,10.0,463.1,27.13,82.2
140,1005.03,462.17,118.56,124.76,254.13,19.93,0.0,4.47,21.01
141,1428.61,604.31,93.9,294.4,202.15,77.59,0.0,86.98,69.28
142,1088.69,515.97,81.27,27.07,212.19,51.21,0.0,72.28,128.69
143,946.97,345.05,77.21,123.98,168.05,64.95,6.35,25.34,136.05
144,1239.87,605.78,107.78,182.27,135.19,28.33,0.0,105.76,74.76
145,1284.32,611.48,57.38,142.29,224.14,54.91,0.0,11.12,183.01
146,1311.31,589.77,70.9,134.08,204.01,47.49,96.51,16.08,152.47
147,1099.53,476.51,36.47,179.51,304.39,42.63,0.0,7.31,52.72
148,799.56,435.0,79.61,76.13,120.0,25.76,0.0,38.22,24.83
149,1409.01,524.16,87.49,277.39,261.01,37.63,0.0,93.63,127.7
150,1096.53,392.57,50.36,71.89,346.68,94.44,21.04,49.3,70.25
151,1383.6,599.33,100.31,101.12,219.94,48.01,247.0,8.08,59.8
152,1450.26,644.03,62.88,25.2,194.85,80.79,348.32,11.93,82.26
153,1386.04,521.69,65.99,61.98,253.45,51.07,252.68,44.62,134.57
154,1010.19,532.73,74.63,10.0,222.75,48.76,0.0,7.76,113.56
155,1250.62,692.3,105.96,105.32,172.53,42.28,38.63,20.56,73.04
156,1274.04,674.67,61.29,24.63,139.54,81.91,274.18,2.81,15.0
157,1374.56,736.84,83.85,62.17,265.9,62.46,0.0,15.85,147.49
158,844.68,231.74,77.4,52.21,125.06,39.21,243.14,25.27,50.67
159,1267.69,402.13,78.8,128.26,275.77,47.12,197.3,26.34,111.96
160,1189.13,540.08,83.6,111.3,208.45,76.52,46.28,34.61,88.28
161,1392.54,490.69,84.93,201.58,265.17,18.23,0.0,68.52,263.42
162,1486.66,653.93,66.13,154.32,236.09,71.21,0.0,51.79,253.18
163,1378.51,745.53,109.25,91.11,273.7,65.75,0.0,48.45,44.73
164,1007.3,452.09,68.06,70.26,243.7,40.01,69.25,42.89,21.04
165,1140.24,470.51,66.23,114.21,212.3,58.09,166.92,26.63,25.35
166,1124.0,460.05,94.56,101.62,210.76,65.05,61.17,20.86,109.94
167,1016.04,416.58,57.65,10.0,221.85,30.38,160.26,54.01,65.31
168,1272.23,452.95,75.85,231.73,361.83,71.84,0.0,44.14,33.89
169,1323.16,664.51,63.42,99.49,122.56,60.95,260.76,10.27,41.2
170,1074.39,333.38,111.85,120.81,289.56,61.94,0.0,37.03,119.82
171,907.52,235.99,105.14,130.28,261.25,57.1,0.0,27.07,90.7
172,1169.81,297.45,63.44,233.14,314.69,69.14,90.95,32.52,68.47
173,1254.85,426.6,78.66,233.21,279.6,101.32,0.0,60.08,75.37
174,859.22,361.32,67.43,85.93,195.18,77.2,0.0,11.07,61.09
175,1076.8,572.46,67.4,22.5,251.1,71.21,0.0,9.88,82.24
176,1107.44,420.42,71.27,31.97,207.64,58.87,202.5,29.3,85.47
177,1002.3,344.67,66.11,10.0,236.52,93.03,224.69,12.28,15.0
178,802.54,328.47,38.98,42.9,273.55,35.68,0.0,3.79,79.17
179,949.79,306.12,70.42,149.71,235.09,30.25,76.63,6.49,75.09
180,1236.81,413.46,68.14,148.02,206.66,58.06,197.03,106.2,39.24
181,960.8,368.33,73.17,146.97,194.59,78.2,0.0,25.04,74.5
182,1137.31,522.69,70.79,79.08,254.78,13.51,0.0,37.88,158.59
183,1308.28,371.26,61.15,98.06,146.7,54.93,442.71,19.0,114.47
184,1283.27,507.09,87.46,159.45,210.76,51.39,111.09,55.68,100.35
185,1265.77,414.6,78.53,10.0,141.78,69.88,529.26,1.05,20.66
186,1251.72,537.07,97.74,183.27,272.96,63.57,0.0,76.89,20.22
187,1437.17,531.49,81.35,189.86,153.63,18.84,419.2,24.61,18.2
188,1263.21,676.08,73.23,92.51,159.23,33.4,120.92,12.17,95.67
189,1174.62,341.72,77.85,13.69,183.91,38.86,353.14,68.62,96.83
190,1025.41,544.08,37.17,61.24,198.59,69.78,19.48,35.9,59.18
191,927.15,370.89,105.49,10.0,203.58,72.49,0.0,21.4,143.28
192,1055.83,402.87,73.53,71.94,243.83,42.59,100.49,4.44,116.15
193,947.24,541.9,112.08,10.0,186.11,57.89,2.13,22.14,15.0
194,1308.46,647.95,60.29,165.85,250.37,33.84,21.81,27.34,101.0
195,1327.29,447.65,49.81,211.71,269.78,95.99,85.26,30.53,136.55
196,1388.28,534.71,79.13,220.58,305.73,86.49,0.0,10.52,151.13
197,979.34,332.53,73.0,183.57,125.07,70.72,56.57,10.88,126.98
198,1032.66,264.89,70.54,76.08,168.0,82.54,283.86,6.25,80.51
199,1152.58,455.53,73.51,169.41,275.52,75.32,0.0,11.88,91.41
200,1228.74,496.0,60.07,241.66,241.63,55.63,0.0,41.18,92.56
201,1302.77,431.33,42.7,145.12,283.73,51.3,153.41,90.06,105.12
202,1339.09,412.88,73.98,99.97,120.0,90.77,484.87,18.48,38.15
203,1278.59,292.2,42.18,18.95,168.87,55.53,539.44,31.34,130.09
204,1084.61,474.89,45.96,85.01,213.7,40.02,45.96,5.82,173.25
205,1033.49,610.21,67.95,10.0,204.16,94.33,0.0,6.04,40.79
206,1036.0,387.01,75.86,165.85,196.97,36.28,105.88,53.14,15.0
207,954.74,507.38,107.5,10.0,220.8,20.31,73.06,0.69,15.0
208,1250.4,475.14,88.38,219.85,238.69,74.86,0.0,36.21,117.27
209,1102.68,456.13,95.98,99.87,270.48,40.38,0.0,37.52,102.33
210,1123.8,530.98,84.2,10.0,288.02,63.7,0.0,54.4,92.5
211,921.82,257.46,70.83,178.54,168.52,91.34,0.0,32.89,122.23
212,1033.4,596.61,119.5,49.48,197.48,27.5,0.0,4.09,38.74
213,1297.09,593.9,50.51,120.75,308.89,74.18,54.17,64.16,30.54
214,1180.78,486.68,63.66,186.87,277.19,84.67,0.0,14.06,67.65
215,1237.66,574.98,67.72,60.65,207.57,68.64,11.66,60.49,185.96
216,1249.32,400.48,84.6,97.7,244.02,51.4,210.99,50.57,109.56
217,1175.98,475.86,53.16,79.65,142.91,102.79,171.4,31.86,118.35
218,1236.42,714.71,91.68,12.25,193.95,53.09,0.0,50.98,119.76
219,1136.91,660.89,86.76,38.7,149.68,72.94,8.24,70.91,48.8
220,1301.27,466.79,85.14,112.81,222.94,87.99,207.22,36.08,82.29
221,1349.97,536.35,86.9,84.49,133.62,74.62,289.4,46.41,98.17
222,1254.81,615.41,102.65,125.64,238.97,81.43,37.88,9.12,43.71
223,925.49,430.62,68.53,43.15,212.56,37.01,0.0,43.61,90.01
224,1099.69,511.35,81.38,68.08,199.17,89.56,0.0,8.9,141.25
225,1225.19,643.65,62.55,65.84,195.24,58.39,97.47,29.09,72.96
226,868.08,372.52,50.31,64.8,218.43,50.08,84.62,12.31,15.0
227,1548.88,600.31,106.28,167.61,259.96,59.44,260.25,15.53,79.49
228,1051.24,489.26,56.56,118.07,171.65,58.8,45.05,77.96,33.89
229,1098.89,293.98,76.86,31.31,196.18,92.36,304.2,24.03,79.96
230,1284.91,431.24,79.0,10.0,164.38,62.63,485.13,28.86,23.68
231,1132.35,471.71,91.8,62.93,301.12,39.38,21.86,45.19,98.35
232,1246.72,601.42,44.7,126.95,249.28,34.77,0.0,27.11,162.5
233,1214.12,555.36,89.2,116.46,187.98,64.05,64.6,42.98,93.47
234,1089.75,579.99,72.86,117.1,230.39,28.07,0.0,46.34,15.0
235,1069.67,492.81,60.49,118.9,216.74,50.69,0.0,14.37,115.66
236,1286.32,529.54,67.87,130.05,306.59,50.12,98.83,7.23,96.09
237,1131.41,523.31,90.86,10.0,192.54,46.56,159.64,26.77,81.73
238,1405.77,528.91,85.53,155.47,120.0,69.54,307.17,15.63,123.53
239,1190.91,607.04,72.41,98.16,257.42,40.24,0.0,49.51,66.12
240,990.11,381.47,47.44,127.69,328.23,10.0,0.0,16.12,79.16
241,1112.68,345.17,47.62,25.63,260.83,21.28,326.64,70.5,15.0
242,1102.48,356.53,80.75,128.69,169.34,54.64,134.32,72.57,105.63
243,1400.02,682.86,53.99,234.62,215.22,43.26,0.0,65.88,104.19
244,1249.52,688.49,75.03,50.64,228.31,30.27,56.03,40.03,80.72
245,1042.53,229.71,111.65,43.06,228.98,94.17,186.11,12.75,136.09
246,1148.21,627.78,83.61,58.13,250.95,71.58,0.0,18.19,37.98
247,1081.62,500.41,84.87,90.01,211.07,53.83,0.0,39.44,101.98
248,1143.54,611.53,55.75,33.72,144.64,59.67,113.4,21.78,103.06
249,1267.39,610.78,52.73,10.0,247.35,49.7,236.07,20.58,40.19
250,1216.54,662.85,90.71,162.02,183.2,29.92,0.0,68.38,19.46
251,1041.13,465.17,65.37,203.67,185.88,75.61,24.87,5.55,15.0
252,1009.76,276.39,85.92,56.01,132.86,72.03,266.57,41.44,78.54
253,1255.53,477.32,73.4,104.21,263.67,15.45,95.89,37.41,188.17
254,1336.57,611.88,138.87,185.58,250.86,59.53,0.0,28.39,61.47
255,1275.33,524.08,63.72,203.86,293.59,61.74,0.0,8.51,119.82
256,1244.78,558.93,80.27,247.39,201.81,48.57,74.31,18.5,15.0
257,1054.39,472.12,56.37,124.4,161.08,96.95,0.0,27.94,115.53
258,1114.11,478.54,91.23,109.84,205.59,94.77,91.59,7.41,35.14
259,948.29,419.68,78.82,50.51,219.96,47.45,0.0,58.5,73.37
260,981.4,442.98,54.29,109.4,206.5,50.54,18.02,25.33,74.34
261,1141.01,574.55,69.83,59.33,137.47,48.19,212.97,23.67,15.0
262,1129.01,204.87,89.14,57.47,256.33,42.77,167.0,43.42,268.01
263,1233.47,456.39,94.52,76.59,145.82,36.58,307.43,79.43,36.71
264,1077.27,310.4,42.15,257.49,209.39,65.14,46.27,18.04,128.39
265,1401.62,365.95,60.89,153.59,294.55,104.23,238.79,6.52,177.1
266,1247.1,693.68,111.9,62.75,120.0,86.0,0.0,86.66,86.13
267,902.87,407.67,67.52,51.1,247.74,70.78,0.0,30.58,27.48
268,1456.57,634.38,80.63,256.33,262.53,10.0,0.0,112.05,100.65
269,1461.17,891.86,103.54,161.61,199.97,17.71,0.0,71.49,15.0
270,1242.87,724.42,56.05,92.59,205.41,76.28,0.0,11.31,76.8
271,1550.6,566.02,58.37,233.31,332.16,107.39,0.0,21.13,232.23
272,1330.88,653.01,72.06,138.12,352.96,66.07,30.58,0.69,17.38
273,1150.89,385.64,91.55,119.82,303.56,48.89,139.07,12.69,49.67
274,1188.9,301.19,85.69,125.57,348.72,82.05,43.4,5.34,196.95
275,1339.18,443.44,84.56,70.41,191.98,70.07,379.44,13.85,85.42
276,1093.86,597.83,73.73,97.36,158.1,77.75,40.13,3.11,45.85
277,1187.68,681.33,99.07,35.66,227.11,17.87,0.0,10.23,116.41
278,1256.37,421.75,68.2,168.32,274.27,61.87,179.35,13.4,69.22
279,900.07,463.21,82.6,105.13,120.0,90.49,0.0,23.64,15.0
280,901.27,459.09,88.49,60.63,179.04,65.55,24.04,4.24,20.17
281,1520.15,534.23,104.87,253.3,220.15,93.96,0.0,60.49,253.13
282,1174.59,541.3,73.53,128.56,249.61,55.73,0.0,12.82,113.05
283,1300.43,447.44,65.2,180.57,277.52,77.12,0.0,32.08,220.5
284,1040.23,583.56,99.12,36.45,187.37,83.05,0.0,12.29,38.39
285,1055.98,513.41,98.4,85.49,204.89,41.6,20.29,24.94,66.97
286,1313.76,437.2,61.64,176.92,132.04,39.65,382.85,22.76,60.71
287,1277.11,629.89,57.31,165.87,221.55,45.44,29.53,62.62,64.9
288,1285.68,673.34,100.44,169.92,160.44,55.47,0.0,19.51,106.56
289,1013.28,571.29,45.89,97.3,221.74,22.8,0.0,20.58,33.69
290,1055.83,424.91,40.58,165.31,185.97,69.62,0.0,7.92,161.52
291,1156.62,451.96,67.03,100.99,267.97,51.72,93.21,3.05,120.7
292,1100.39,440.63,71.56,10.0,228.56,72.07,161.67,30.47,85.42
293,1015.28,451.59,50.97,121.7,232.53,22.62,2.48,31.07,102.33
294,1138.53,441.1,73.73,117.94,327.25,72.15,0.0,28.01,78.37
295,1316.15,593.26,79.09,229.96,266.08,81.74,0.0,51.02,15.0
296,1046.0,534.0,63.87,100.79,209.75,73.77,0.0,23.31,40.51
297,1379.83,578.36,110.45,201.79,232.89,65.6,44.53,16.11,130.1
298,998.77,606.21,82.42,29.76,130.04,72.3,0.0,27.44,50.6
299,1198.87,447.53,90.24,203.66,226.38,80.43,0.0,20.02,130.62
300,1122.91,388.93,41.96,155.04,211.92,65.46,153.86,4.93,100.82
301,1463.88,689.01,50.8,69.43,124.71,66.95,343.64,55.14,64.21
302,1090.51,530.19,80.69,19.02,154.98,88.14,162.74,12.39,42.37
303,1011.29,327.45,99.71,10.0,201.61,70.22,144.52,21.26,136.52
304,1149.25,610.9,56.65,146.2,169.6,38.99,7.88,13.61,105.41
305,978.86,457.25,72.8,73.11,197.38,80.33,0.0,62.18,35.81
306,1127.06,670.71,54.39,63.09,240.02,52.53,0.0,14.13,32.19
307,1362.87,579.16,60.94,216.31,258.27,75.67,0.0,69.7,102.83
308,1312.55,437.6,73.1,36.18,260.26,57.14,320.49,11.22,116.56
309,1496.44,733.13,69.63,112.7,162.83,74.38,139.48,41.53,162.77
310,1076.8,365.38,43.96,87.06,227.48,89.98,159.08,20.52,83.34
311,1027.83,419.76,45.19,45.11,174.82,55.49,234.41,3.87,49.19
312,1122.41,383.52,34.06,87.98,245.65,89.63,0.0,67.93,213.65
313,995.04,286.59,73.68,85.91,234.17,58.29,171.53,10.32,74.55
314,1427.37,654.78,86.9,131.9,164.08,83.04,238.66,16.68,51.32
315,1180.42,483.11,81.66,179.96,221.47,58.97,52.77,29.88,72.6
316,1245.02,658.64,59.89,176.85,227.92,45.15,0.0,6.7,69.86
317,1219.6,596.69,92.51,74.58,210.46,93.44,0.0,12.05,139.88
318,1193.85,512.86,84.61,153.77,262.5,43.24,102.84,19.04,15.0
319,1065.53,495.35,71.49,75.88,190.33,41.9,59.36,3.5,127.7
320,856.2,348.29,64.13,10.0,272.0,39.88,0.0,27.5,94.4
321,932.29,450.77,58.34,63.85,223.77,90.35,0.0,5.83,39.38
322,1129.79,600.3,77.97,58.94,190.15,85.07,0.0,40.84,76.52
323,1265.65,543.95,101.93,238.1,182.15,62.46,0.0,55.84,81.21
324,1036.58,405.77,89.15,52.96,159.35,35.32,176.22,42.96,74.84
325,936.17,296.12,60.77,109.83,120.0,54.86,201.79,47.62,45.18
326,1249.86,464.5,80.13,36.05,206.44,48.95,329.17,18.22,66.4
327,1018.79,413.51,49.08,69.47,295.1,34.39,99.89,5.11,52.25
328,1409.28,481.39,84.08,201.29,323.19,45.22,5.26,53.84,215.01
329,1018.79,411.35,53.88,126.66,170.09,65.11,28.86,12.33,150.51
330,1568.16,496.67,83.82,129.33,273.27,42.9,398.13,22.16,121.87
331,1148.81,475.26,124.2,159.37,249.65,60.83,0.0,8.9,70.59
332,1125.89,616.54,64.74,157.36,120.0,19.47,0.0,7.59,140.18
333,1289.89,675.83,129.39,103.69,176.72,88.58,0.0,29.23,86.46
334,1011.36,530.96,81.26,10.0,170.6,47.17,70.18,24.64,76.55
335,1339.35,741.24,65.24,94.55,296.59,72.4,0.0,3.63,65.68
336,1098.27,391.77,53.93,225.88,197.1,58.77,47.79,12.92,110.1
337,1116.25,357.89,109.81,48.83,260.97,63.05,0.0,88.11,187.6
338,1052.06,438.27,78.52,10.0,224.11,32.36,132.38,36.98,99.44
339,1172.87,652.96,65.9,156.67,165.48,39.79,0.0,11.57,80.5
340,1100.39,524.14,68.56,141.24,199.63,50.24,0.0,16.12,100.46
341,1379.94,695.37,85.11,82.37,314.24,55.51,25.76,24.17,97.41
342,1267.42,180.0,61.74,142.58,185.46,91.52,550.0,16.2,39.91
343,1464.92,630.36,81.64,275.62,294.82,63.67,0.0,64.59,54.23
344,1132.21,530.26,104.33,10.0,276.81,36.99,0.0,35.19,138.63
345,896.17,294.72,45.04,86.96,205.35,56.75,3.03,43.04,161.29
346,1080.99,566.82,85.11,10.0,124.41,53.39,0.0,46.64,194.62
347,1058.83,460.34,69.0,149.66,166.65,57.98,0.0,35.0,120.2
348,1324.44,595.75,65.39,69.21,309.84,54.69,89.03,39.12,101.42
349,1301.17,609.89,94.1,81.45,238.35,70.27,0.0,62.51,144.6
350,1484.74,601.63,48.24,133.89,120.0,40.6,479.63,40.69,20.06
351,1002.19,313.26,25.0,85.3,290.87,48.08,102.43,6.92,130.34
352,1133.08,532.84,76.53,70.23,146.72,74.64,0.0,80.0,152.13
353,882.24,295.88,62.89,10.0,184.56,64.38,110.69,2.51,151.33
354,1338.99,567.89,49.19,186.23,234.47,80.58,0.0,33.93,186.7
355,1486.27,657.76,45.44,227.29,383.62,83.72,0.0,26.35,62.09
356,990.38,341.03,101.48,147.37,289.88,27.79,0.0,14.91,67.92
357,903.94,399.42,76.82,33.49,203.47,60.77,0.0,46.81,83.17
358,932.71,374.12,68.08,160.05,231.56,44.84,0.0,20.43,33.64
